GeneID,Chr,Start,End,Strand,Length,HI.3202.005.Index_10.BM_Bfshift.NAB2.PrA.CSL4pH.URA.25C.d2.bam,HI.3202.005.Index_11.BM_Bfshift.NAB2.PrA.CSL4pH.URA.25C.d3.bam,HI.3202.005.Index_1.BM_Ctrl.NAB2.PrA.CSL4.URA.d1.bam,HI.3202.005.Index_20.BM_shift90.NAB2.PrA.CSL4pH.URA.37C.d1.bam,HI.3202.005.Index_21.BM_shift90.NAB2.PrA.CSL4pH.URA.37C.d2.bam,HI.3202.005.Index_22.BM_shift90.NAB2.PrA.CSL4pH.URA.37C.d3.bam,HI.3202.005.Index_23.BM_shift3h.NAB2.PrA.CSL4pH.URA.37C.d1.bam,HI.3202.005.Index_25.BM_shift3h.NAB2.PrA.CSL4pH.URA.37C.d2.bam,HI.3202.005.Index_27.BM_shift3h.NAB2.PrA.CSL4pH.URA.37C.d3.bam,HI.3202.005.Index_3.BM_Ctrl.NAB2.PrA.CSL4.URA.d2.bam,HI.3202.005.Index_8.BM_Ctrl.NAB2.PrA.CSL4.URA.d3.bam,HI.3202.005.Index_9.BM_Bfshift.NAB2.PrA.CSL4pH.URA.25C.d1.bam,HI.3758.002.Index_12.BM.MO_dpl.enp1.37C.30.3.1.bam,HI.3758.002.Index_13.BM.MO_dpl.enp1.37C.30.3.2.bam,HI.3758.002.Index_14.BM.MO_dpl.enp1.37C.90.4.1.bam,HI.3758.002.Index_15.BM.MO_dpl.enp1.37C.90.4.2.bam,HI.3758.002.Index_18.BM.MO_dpl.enp1.37C.180.5.1.bam,HI.3758.002.Index_19.BM.MO_dpl.enp1.37C.180.5.2.bam,HI.3758.002.Index_2.BM.MO_dpl.CSL4ph.37C.30.1.1.bam,HI.3758.002.Index_4.BM.MO_dpl.CSL4ph.37C.30.1.2.bam,HI.3758.002.Index_5.BM.MO_dpl.enp1.25C.2.1.bam,HI.3758.002.Index_6.BM.MO_dpl.enp1.25C.2.2.bam,HI.3758.004.Index_21.BM.MO_dpl.srm1.37C.30.7.1.bam,HI.3758.004.Index_22.BM.MO_dpl.srm1.37C.30.7.2.bam,HI.3758.004.Index_25.BM.MO_dpl.srm1.37C.90.8.1.bam,HI.3758.004.Index_27.BM.MO_dpl.srm1.37C.90.8.2.bam,HI.3758.004.Index_8.BM.MO_dpl.srm1.25C.6.1.bam,HI.3758.004.Index_9.BM.MO_dpl.srm1.25C.6.2.bam,HI.4535.001.Index_13.CA_Dis3.1.4.bam,HI.4535.001.Index_16.CA_Rrp6.delta.5.bam,HI.4535.001.Index_18.CA_Rrp6.delta.6.bam,HI.4535.001.Index_2.CA_WT.1.bam,HI.4535.001.Index_4.CA_WT.2.bam,HI.4535.001.Index_7.CA_Dis3.1.3.bam
YOL151W,XV,43694,44722,+,1029,1622,1600,929,1078,907,988,596,759,859,1168,1176,1182,3107,2884,5084,3884,2185,2230,1340,1380,3393,3334,4003,3621,22463,22038,6552,6445,1080,1571,1483,878,659,1298
YOL150C,XV,44473,44784,-,312,52,63,14,56,70,64,74,114,128,27,28,42,52,41,109,91,120,105,58,46,58,58,44,57,52,59,26,30,70,47,66,29,29,67
YOL149W,XV,44938,45633,+,696,773,742,574,434,360,388,351,481,524,581,714,534,553,633,911,873,1012,887,737,722,1173,1260,866,953,4529,4585,868,891,413,742,737,705,557,533
YOL148C,XV,45760,47574,-,1815,1099,1187,942,1166,981,1078,941,1280,1416,1175,1247,843,2335,2407,2637,2229,2069,2088,2061,1875,1840,1928,5168,4608,3920,3870,1969,1789,1023,1422,1364,1340,1094,1085
YOL147C,XV,47933,48643,-,711,578,658,466,579,442,442,453,656,634,532,445,498,448,453,901,729,530,584,478,455,652,644,396,364,428,421,1032,959,356,422,392,508,395,337
YOL146W,XV,48864,49448,+,585,451,453,265,642,539,638,641,807,904,317,311,324,477,470,1100,962,768,824,649,601,518,554,269,249,436,398,512,497,407,448,470,401,317,412
YOL145C,XV,49555,52788,-,3234,3582,4131,2863,3552,3316,3351,2746,3635,4177,3197,3547,3116,5116,5228,7008,6516,7412,7158,5918,5622,5853,7057,7558,7817,8868,9088,5940,6087,3353,5275,5327,3359,2699,3865
YOL144W,XV,53098,54552,+,1455,1075,1172,498,688,703,645,477,712,767,626,643,905,1043,1039,1731,1506,1644,1541,1180,1122,1273,1255,428,390,1092,1085,892,776,772,1298,1314,764,650,822
YOL143C,XV,54595,55104,-,510,1640,1715,1563,1106,902,990,794,995,1136,1959,1888,1230,2171,2175,2291,1826,1428,1433,1666,1463,2920,2894,781,674,960,925,3043,2989,960,1403,1321,1730,1363,1163
YOL142W,XV,55558,56280,+,723,1217,1278,682,982,893,925,741,897,1017,816,850,888,1514,1444,2123,1773,1699,1643,1490,1416,1540,1549,1831,1711,2724,2516,1371,1409,877,1572,1515,987,822,933
YOL141W,XV,56452,58539,+,2088,892,896,327,1355,1173,1237,1147,1515,1724,329,346,701,1570,1590,3280,2870,2255,2359,1410,1272,994,1040,2301,2159,2475,2518,938,882,1064,1853,1789,557,420,1255
YOL140W,XV,58759,60030,+,1272,841,903,422,1704,1444,1555,1371,1652,1857,579,582,681,2855,2912,4330,3671,2402,2369,3161,2862,1152,1251,1800,1618,1859,1833,1149,1019,1227,1783,1704,1125,1004,1383
YOL139C,XV,60383,61024,-,642,10481,11093,7054,4936,4207,4280,2479,3415,3759,7970,8534,8209,6411,6508,8837,7365,8276,7532,7033,7168,13180,13237,5837,5701,7092,7009,11442,11171,4293,7881,7162,6245,5094,4653
YOL138C,XV,61325,65350,-,4026,1693,1696,1053,3219,2964,3095,3198,3993,4405,1233,1216,1300,5412,5175,7580,6574,5383,5285,4220,3809,2661,2910,6321,6014,4988,4837,3234,3200,2201,2547,2427,1885,1440,2436
YOL137W,XV,65621,67114,+,1494,854,881,335,867,817,715,730,951,1097,349,420,671,890,918,1499,1349,1219,1128,1303,1230,890,966,665,665,904,956,831,798,824,1199,1092,562,432,901
YOL136C,XV,67561,68754,-,1194,1218,1218,789,1374,1298,1402,1198,1712,1839,840,1029,1051,3115,3373,5400,5011,6051,5644,4596,3817,2906,3491,2442,2479,2814,3010,2078,2268,2751,2916,2819,1308,982,3197
YOL135C,XV,69376,70044,-,669,468,451,406,444,399,440,351,439,509,594,510,364,665,583,633,549,486,491,659,626,722,669,2075,1840,1877,1608,852,788,262,463,453,517,355,365
YOL134C,XV,70156,70545,-,390,8,2,4,17,13,6,17,31,26,4,2,4,27,17,21,20,11,9,17,15,8,7,71,62,91,119,13,13,3,9,10,6,2,8
YOL133W,XV,70325,70690,+,366,736,759,529,707,565,571,483,601,659,636,686,534,1111,1171,1281,978,707,629,1233,1168,961,888,2472,2157,2202,2105,1090,987,408,465,473,593,461,415
YOL132W,XV,71300,72715,+,1416,47,36,17,245,201,217,207,245,280,23,21,19,405,416,417,391,188,184,284,257,50,65,3589,3464,2535,2617,70,75,53,87,85,72,49,58
YOL131W,XV,73031,73357,+,327,1,6,9,43,47,30,42,40,54,3,3,1,75,78,70,61,22,23,88,82,0,1,879,832,586,530,8,5,19,23,27,7,7,19
YOL130W,XV,74400,76979,+,2580,3732,3783,2751,5010,4369,4529,3825,4933,5350,3191,3164,2953,7966,7567,10084,8202,7668,7512,7383,6994,4455,4787,10261,9141,10256,9565,5380,4926,4401,6530,6185,3631,2886,4843
YOL129W,XV,77560,78114,+,555,1894,1851,1443,1427,1277,1204,835,1150,1276,1746,1860,1278,2915,3115,2419,2074,1814,1631,2828,2635,2197,2416,2737,2735,3602,3600,2246,2338,1110,1457,1253,2002,1798,1248
YOL128C,XV,78352,79479,-,1128,298,333,138,653,608,626,778,1036,1168,128,192,256,603,652,1103,882,838,758,796,772,275,289,330,323,533,614,287,295,388,575,568,304,233,509
YOL127W,XV,80348,80360,+,13,3587,3556,3254,1267,1027,1072,733,940,1286,3964,5015,2871,2051,2471,2342,1920,2633,2373,2474,2483,4866,4619,1081,1141,987,989,3555,3586,810,2038,1917,2028,1706,900
YOL127W,XV,80775,81190,+,416,33124,34689,29489,11992,10142,10161,6839,8804,9915,33828,36675,24843,19348,19648,21298,17105,23513,20734,20197,19731,42249,42996,9820,9150,8294,8352,33993,33643,8071,22010,20465,20637,17050,9138
YOL126C,XV,81787,82920,-,1134,1009,1105,1091,1574,1443,1473,1183,1526,1756,1216,1118,799,2364,2399,2202,1795,1388,1417,2299,2111,3069,2992,3626,3296,1920,1840,2916,2850,1343,990,901,1036,835,1406
YOL125W,XV,83834,85264,+,1431,1490,1397,675,2636,2380,2401,2354,2882,3246,796,899,1114,2284,2229,3492,2910,2483,2485,2689,2563,1612,1676,3005,2828,3884,3768,1729,1551,1532,2046,1963,1004,851,1760
YOL124C,XV,85456,86757,-,1302,1651,1790,740,1408,1242,1267,1216,1715,1821,804,875,1290,1086,1139,3411,3055,2600,2679,1409,1363,2061,2038,702,668,1690,1739,1841,1712,1398,2966,2966,1346,1098,1619
YOL123W,XV,87844,89448,+,1605,11701,11964,5224,16096,13895,14158,11042,13742,15734,6016,6215,9092,28632,29011,22643,18373,16822,16495,29921,27215,15215,15192,91267,82853,118976,114920,15451,14353,7417,14696,14299,2828,2215,8368
YOL122C,XV,89692,91419,-,1728,740,663,1117,1438,1350,1276,1066,1388,1623,1207,1405,535,1604,1559,1990,1653,1376,1344,1688,1512,1452,1642,760,743,770,774,2271,2207,1091,1727,1723,1866,1507,1232
YOL121C,XV,92831,92850,-,20,1663,1756,1363,705,640,652,416,554,690,1713,2150,1430,1180,1377,1551,1194,1549,1462,1294,1336,2490,2419,622,645,1049,1128,1974,1848,579,1566,1440,1429,1285,720
YOL121C,XV,92026,92440,-,415,14660,15132,13077,5761,5106,5302,3342,4283,4883,15540,16223,11001,12877,12938,12613,9899,12292,11794,9878,9502,20050,19437,5903,5382,9654,9275,17279,16530,4226,11229,10454,10740,8816,4936
YOL120C,XV,94291,94402,-,112,7858,8125,7118,4403,3508,3586,2774,3691,4832,8443,9510,5872,4433,5092,6097,4927,6094,5823,6456,6416,11561,12236,2694,2713,3889,4111,9014,9235,2516,6493,6131,5947,4632,2847
YOL120C,XV,93395,93843,-,449,27238,27834,27489,9767,8356,8637,5777,7356,8644,34169,33970,20837,19119,18674,19686,15929,17951,17545,16310,15415,41169,41300,10448,9500,15341,14567,36312,35187,6880,20488,19286,21716,17217,7847
YOL119C,XV,94856,96361,-,1506,785,853,576,2746,2311,2439,1670,2035,2451,641,646,605,7168,7003,5769,4990,2369,2566,5256,4931,815,798,1107,1138,2848,2897,804,777,1124,1440,1428,1108,894,1195
YOL118C,XV,96608,96916,-,309,19,19,6,122,123,129,168,166,230,4,10,13,92,86,165,153,77,104,139,145,17,18,149,201,255,274,27,19,75,26,20,9,12,76
YOL117W,XV,97551,99488,+,1938,374,433,391,3255,2943,2993,2251,3101,3441,487,595,313,3376,3492,3836,3491,2557,2643,7070,5915,502,545,1879,1850,4480,4601,683,599,1042,1114,1082,810,615,1240
YOL116W,XV,99809,100957,+,1149,745,838,751,2555,2188,2321,1734,2095,2361,1001,908,538,3828,3572,3258,2791,1905,1946,5111,4697,1213,1238,2806,2428,4022,3942,1358,1228,1077,1078,1123,1031,790,1227
YOL115W,XV,101475,103229,+,1755,1825,1963,1141,1451,1205,1251,1153,1496,1652,1274,1303,1518,2602,2649,3526,2870,2715,2612,2354,2289,2773,3028,2965,2981,3960,3842,2702,2677,1217,2120,2065,1251,980,1290
YOL114C,XV,103317,103925,-,609,289,283,96,756,672,709,746,961,1031,121,155,186,630,613,687,583,509,513,1401,1299,255,261,393,408,583,611,227,226,519,244,260,111,97,666
YOL113W,XV,104326,106293,+,1968,1203,1217,1806,1984,1717,1726,1846,2201,2584,2206,2226,912,3716,3815,3559,3049,3527,3441,2873,2693,2074,2172,7388,7117,8058,7750,1797,1667,1551,2049,2063,2282,1923,1803
YOL112W,XV,106710,108188,+,1479,1008,1115,618,2761,2342,2430,2405,2918,3310,752,736,787,3243,3178,6125,5080,3530,3693,2655,2597,1254,1289,1075,989,1467,1463,1307,1354,1505,1155,1106,858,799,1633
YOL111C,XV,108258,108896,-,639,1590,1490,1659,1137,1024,998,1058,1240,1297,2090,1842,1176,1902,2017,2490,1893,1477,1459,1919,1805,2406,2257,1179,918,1734,1657,2343,2142,1160,1341,1168,1302,1106,1225
YOL110W,XV,109176,109889,+,714,351,352,455,929,837,732,723,897,984,504,510,235,1223,1152,1418,1134,728,778,887,783,518,495,393,357,893,835,547,474,694,611,524,484,421,732
YOL109W,XV,110297,110638,+,342,25864,26411,29223,17537,14657,14204,8424,11391,12600,34335,35621,18856,12627,12682,17917,14446,15853,14059,15081,13770,23758,23324,5538,5360,10878,10464,12866,12733,9851,16314,15131,20632,17024,11066
tG(UCC)O,XV,110962,111033,-,72,1,0,0,1,0,0,3,0,2,1,3,0,3,1,5,4,5,6,1,1,0,2,7,3,6,2,0,0,1,0,2,4,0,0
YOL108C,XV,111431,111886,-,456,318,282,507,600,493,490,440,616,698,496,530,192,871,921,1060,893,594,525,884,804,472,414,715,667,1031,960,433,393,322,302,272,498,402,303
YOL107W,XV,112102,113130,+,1029,304,351,180,435,421,381,421,631,714,236,249,219,264,289,449,353,292,237,701,582,240,283,215,227,416,352,297,271,274,327,307,385,333,298
YOL106W,XV,113226,113579,+,354,24,29,8,70,68,88,109,123,145,11,10,21,37,32,56,65,40,40,150,91,31,34,31,23,90,65,17,22,48,34,40,26,27,32
tT(AGU)O1,XV,113802,113874,+,73,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,2,0,0,1,0,0,0,1,2,7,5,1,0,1,0,0,0,0,0
YOL105C,XV,114138,115808,-,1671,961,902,443,2494,2302,2342,1724,2016,2263,535,460,798,5049,5058,5373,4473,4365,4341,4541,4123,1755,1816,2467,2186,2189,2013,1217,1112,1688,983,991,570,492,1838
YOL104C,XV,116396,117454,-,1059,590,566,225,1729,1627,1676,1224,1535,1756,250,282,453,2385,2576,3717,3443,3655,3482,2958,2508,528,594,48,68,63,63,88,69,1868,226,209,699,559,2113
YOL103W-B,XV,118000,119304,+,1305,2904,3147,1470,3293,2973,3178,2196,2656,3314,1715,1777,2663,3611,4167,5084,4554,4328,4153,3808,3436,3329,3469,1673,1671,1447,1506,1351,1369,2290,429,393,2627,1970,2517
YOL103W-B,XV,119306,123268,+,3963,171,247,62,337,317,337,225,317,366,122,115,209,254,330,496,559,932,749,465,368,245,344,57,68,46,54,60,73,307,47,51,266,228,392
YOL103W-A,XV,118000,119322,+,1323,2904,3147,1470,3293,2973,3178,2196,2656,3314,1715,1777,2663,3611,4167,5084,4554,4328,4153,3808,3436,3329,3469,1673,1671,1447,1506,1351,1369,2290,429,393,2627,1970,2517
YOL103W,XV,124001,125830,+,1830,3096,3084,2015,4100,3938,4048,3584,4570,5217,2414,2476,2435,7096,7201,12437,11027,8309,7929,6317,5223,4515,4742,4290,3857,2977,2867,4568,4463,3039,3651,3663,2792,2361,3471
YOL102C,XV,125997,126689,-,693,408,431,320,312,210,219,192,278,299,379,390,314,384,412,667,530,574,542,455,410,631,670,434,443,340,408,577,647,330,517,485,506,453,346
YOL101C,XV,126982,127920,-,939,114,100,507,877,718,742,637,873,979,596,647,66,1310,1448,3588,2900,5347,5007,1514,1300,223,275,318,329,300,312,155,177,1967,1225,1250,2077,1693,2214
YOL100W,XV,129237,132482,+,3246,1141,1224,969,3263,2812,2899,3165,3945,4460,1229,1273,863,4033,4362,5997,5593,4432,4449,4220,3797,2266,2480,4083,3956,4346,4387,2571,2421,2308,2480,2482,1950,1591,2352
YOL099C,XV,132017,132508,-,492,12,14,4,33,51,32,48,53,110,6,9,6,83,89,127,120,90,94,86,87,19,32,90,123,105,110,17,25,26,52,45,18,17,66
YOL098C,XV,132725,135838,-,3114,6018,6368,3376,6981,6187,6131,5823,7401,8418,3984,4250,4734,6030,6378,9575,8512,6823,6550,10186,9062,7059,8004,4268,4196,4402,4464,7192,7165,4598,6578,6394,5422,4439,5147
snR58,XV,136088,136183,-,96,20,27,2,497,451,473,775,1058,1398,2,4,20,30,30,106,75,55,54,315,331,21,12,29,20,30,51,4,7,169,674,674,6,7,165
YOL097W-A,XV,136220,136405,+,186,102,89,11,293,260,278,236,315,332,24,33,67,185,163,270,227,255,172,366,352,41,55,80,83,86,124,27,24,180,204,207,28,27,210
YOL097C,XV,136527,137825,-,1299,6827,7313,5378,2775,2267,2503,1821,2350,2483,6351,6656,5177,3920,4107,5581,4482,4379,4206,4208,3899,7908,8055,1670,1672,1881,1789,8132,7620,2746,6967,6470,5213,4026,3123
YOL096C,XV,138107,139045,-,939,598,682,823,813,647,657,577,750,860,953,1020,540,2026,1952,1653,1386,989,917,1372,1271,1103,1130,1592,1473,1340,1350,983,944,456,451,413,669,560,470
YOL095C,XV,139227,141347,-,2121,278,343,197,274,271,242,290,384,449,221,246,278,445,504,621,600,521,542,418,367,557,654,565,626,448,492,655,645,238,551,536,394,299,291
YOL094C,XV,141584,142555,-,972,803,953,540,1159,973,1023,921,1198,1394,651,702,740,994,1064,1943,1562,1131,1186,1349,1304,1040,1161,513,534,847,911,974,1025,626,1221,1202,633,489,673
YOL093W,XV,142815,143696,+,882,1247,1264,681,935,795,815,722,871,1044,785,799,828,1238,1217,1846,1527,1411,1289,1323,1168,1199,1155,686,646,828,683,1162,1062,588,1000,994,687,563,631
YOL092W,XV,144204,145130,+,927,2894,2937,1512,1231,1095,1154,903,1143,1379,1869,1849,2104,1933,1919,2818,2421,2366,2478,2017,1662,3009,3014,1861,1733,1746,1694,2724,2549,1362,2260,1889,1482,1218,1516
YOL091W,XV,145334,147163,+,1830,57,62,27,472,438,441,438,617,699,26,34,54,802,870,1338,1236,1098,877,699,546,97,125,1515,1556,1593,1386,147,148,269,597,700,103,72,346
YOL090W,XV,147382,150276,+,2895,2389,2537,1614,2280,2054,2111,2276,2875,3345,1847,2088,1904,2089,2174,5322,4728,3398,3437,2507,2408,3264,3741,1852,1980,1250,1312,3330,3372,1540,2820,2653,1997,1599,1944
YOL089C,XV,150398,153490,-,3093,829,967,634,1260,1206,1277,1067,1521,1724,796,839,648,1784,1817,2513,2311,2403,2264,2422,2172,1416,1698,3460,3521,2049,2081,1676,1753,1345,1893,1761,1238,989,1492
YOL088C,XV,153912,154745,-,834,1334,1331,769,1219,964,1128,857,1154,1270,838,839,996,1520,1531,2142,1781,1635,1629,2375,2290,1506,1620,1465,1435,935,915,1127,1087,1049,1213,1156,1154,935,1205
YOL087C,XV,155287,158637,-,3351,3191,3291,2898,5786,5223,5411,4355,5518,6014,3771,3720,2561,14596,14495,12637,10733,7316,7224,9514,8750,6053,6290,16897,15875,18217,18125,6488,6292,3872,3957,3670,3800,3104,4326
YOL086W-A,XV,159173,159445,+,273,267,389,391,433,314,304,318,419,462,386,447,230,664,651,600,490,443,337,534,578,519,461,741,655,1375,1196,554,564,181,268,297,337,314,236
YOL086C,XV,159548,160594,-,1047,262785,269787,259112,119521,101210,102604,51353,61684,69441,316759,309973,200193,323287,297468,205385,166841,105627,101476,263169,250694,247585,242482,27995,25687,21955,20359,414912,384553,97931,165716,150647,180700,150360,109809
YOL085W-A,XV,161579,161791,+,213,67,92,43,485,478,436,422,509,527,55,49,51,510,484,514,391,180,197,694,655,77,68,364,245,504,474,49,74,328,403,314,45,45,338
YOL085C,XV,161673,162014,-,342,7,4,7,30,26,25,15,21,24,18,12,1,133,138,49,40,11,17,52,38,5,5,52,51,86,76,0,0,10,6,6,13,11,12
YOL084W,XV,162356,165331,+,2976,199,213,418,1332,1165,1297,1064,1392,1513,494,457,186,13518,13224,7012,5853,1664,1540,2592,2554,284,314,1553,1419,2750,2621,203,198,895,364,343,438,411,1053
YOL083W,XV,165714,166952,+,1239,214,238,322,493,406,448,354,485,544,336,342,143,456,446,460,375,208,229,877,854,168,167,680,610,412,394,525,495,324,186,171,625,510,356
YOL083C-A,XV,166461,166601,-,141,8,9,1,21,21,25,37,37,40,5,5,4,22,25,36,35,29,35,44,15,5,7,11,6,10,16,3,2,18,12,9,4,2,15
YOL082W,XV,168727,169974,+,1248,1322,1507,1302,996,946,1029,762,1065,1215,1685,1724,987,1963,1990,1762,1421,1065,1024,2363,2243,1557,1509,10683,9747,5438,5163,2890,2784,793,740,663,1324,1086,932
YOL081W,XV,171070,180309,+,9240,7700,8553,6402,22387,20887,23591,20623,26220,29311,8283,8327,6916,34642,36283,43635,39597,35513,33840,31904,27252,16641,18941,59881,60425,14391,14384,17307,17104,16606,22529,22490,14994,11714,18277
YOL080C,XV,180558,181427,-,870,1247,1350,349,652,621,565,555,762,830,440,523,958,580,638,1482,1252,1351,1328,734,670,1066,1050,185,175,497,487,1084,999,693,1602,1614,727,605,825
YOL079W,XV,181057,181455,+,399,9,8,0,58,65,40,91,90,122,1,2,6,122,89,239,198,154,132,42,33,13,27,411,400,120,112,7,2,50,22,21,3,3,55
YOL078W,XV,181682,185212,+,3531,1349,1424,1031,2230,2128,2155,2192,2952,3213,1262,1254,1129,3844,3727,5671,4701,3870,3695,2696,2462,2154,2305,4946,4739,2782,2887,2303,2375,1525,2211,2034,1240,1054,1671
YOL077W-A,XV,185438,185644,+,207,399,471,571,561,427,421,349,434,544,637,780,301,832,822,1026,966,854,709,950,897,874,977,433,393,417,366,555,562,384,755,674,787,689,523
YOL077C,XV,185848,186723,-,876,4168,4476,1691,2233,1746,1968,1430,1841,2150,1707,2069,3084,1619,1798,4202,3493,5195,4716,2823,2712,4804,5431,651,696,1926,2051,2810,2833,2320,4844,4567,2446,1925,2513
YOL076W,XV,187024,189414,+,2391,1669,1750,874,1410,1360,1297,1523,2138,2350,951,1114,1363,1191,1371,3006,2746,2569,2545,2119,1802,2190,2436,1683,1764,1824,1985,2231,2247,1941,3278,3268,1481,1106,2190
YOL075C,XV,189658,193542,-,3885,1566,1817,693,3658,3402,3488,3200,3974,4509,791,814,1208,3785,3976,6426,5805,3816,3849,3896,3368,1788,1858,3341,3137,3054,3081,1807,1757,2661,2720,2649,1558,1158,2904
YOL073C,XV,193832,194800,-,969,841,858,864,1223,1069,1088,977,1104,1331,1049,995,659,2275,2191,2466,2265,1245,1276,1627,1632,1355,1330,1773,1470,1594,1632,1369,1230,690,746,704,894,680,806
YOL072W,XV,194970,196337,+,1368,633,630,528,802,608,709,675,876,915,598,654,558,1446,1514,1861,1635,1469,1447,1402,1238,1168,1256,1764,1646,939,964,1220,1060,664,970,951,648,533,747
YOL071W,XV,196507,196995,+,489,459,431,571,772,673,649,418,543,659,782,724,287,1068,1146,918,697,458,383,1053,901,736,675,907,904,797,638,1002,933,303,390,316,518,450,313
YOL070C,XV,197220,198725,-,1506,2696,2749,1996,1607,1289,1428,1243,1498,1698,2531,2538,2196,3464,3381,3886,3352,2615,2597,2332,2029,3200,2902,2733,2429,2965,2687,3483,3217,1410,1825,1712,2089,1625,1559
YOL069W,XV,198942,200297,+,1356,692,712,485,764,670,775,754,1030,1227,654,670,506,1145,1214,2018,1727,1298,1312,929,810,918,910,531,512,622,679,1109,1058,714,764,711,696,608,716
YOL068C,XV,200368,201879,-,1512,2059,2158,1419,2756,2349,2459,2179,2984,3357,1559,1574,1667,3371,3497,5049,4404,3762,3625,4891,4231,3246,3419,4252,4230,4750,4574,3252,3269,2086,2709,2625,2044,1618,2441
YOL067C,XV,201985,202518,-,534,746,705,475,1089,927,968,870,1095,1101,572,545,518,1866,1654,2302,1710,1140,1158,1636,1486,865,840,2575,2122,2574,2307,1043,992,581,780,862,494,395,714
YOL066C,XV,202696,204471,-,1776,985,1088,806,1211,1102,1117,1169,1374,1624,1003,951,786,2574,2472,3157,2707,1949,1877,1434,1296,1522,1412,2915,2749,2377,2185,2008,1784,807,1552,1444,842,654,822
YOL065C,XV,204731,205885,-,1155,632,618,516,548,549,563,513,608,660,650,656,446,1067,1087,1279,1068,712,808,851,794,932,934,1347,1337,921,902,915,987,461,474,463,559,538,486
YOL064C,XV,206103,207176,-,1074,1334,1430,1071,789,649,723,505,635,661,1346,1377,1059,1819,1924,1610,1374,867,712,2082,2004,1457,1473,859,923,525,491,2109,2078,692,1249,1167,1332,1078,837
YOL063C,XV,207392,210265,-,2874,1548,1594,1219,2885,2497,2549,2227,2820,3242,1553,1495,1172,4974,4948,6350,5462,3869,3804,4567,4112,2559,2719,5514,5381,4283,4088,2914,2853,2060,2450,2475,1891,1587,2299
YOL062C,XV,210520,211995,-,1476,2263,2395,1822,3295,2894,2960,2180,2763,3066,2132,2074,1724,6280,6184,6950,5869,3647,3574,5201,4868,2882,2980,4679,4396,5580,5312,3398,3235,1704,2116,1972,2174,1752,1918
YOL061W,XV,212244,213734,+,1491,6403,6707,4186,3451,3013,3155,2156,2868,3052,4956,4741,4959,6885,6766,7609,6284,6352,6026,5008,4745,8029,7847,2467,2342,3821,3689,7004,6602,2997,5258,4953,3422,2911,3189
YOL060C,XV,214017,216137,-,2121,2784,2844,2257,6441,5733,5912,5133,6061,6927,2892,2762,2177,8924,8582,10864,9332,4571,4698,6909,6466,4289,4129,9678,8462,8188,7543,6745,6105,2971,2946,2860,2578,2050,3285
YOL059W,XV,217126,218448,+,1323,5658,5755,4839,6495,5515,5772,3900,4988,5543,5744,5796,4422,10631,10487,7885,6096,4686,4317,10134,9261,5452,5307,10029,8614,5870,5413,7626,7069,3852,9467,8932,4355,3610,4469
YOL058W,XV,219211,220473,+,1263,645,624,749,5055,4190,4453,2512,3083,3487,1017,932,521,22783,21917,13057,10826,1854,1741,25011,23429,1184,1241,2337,2159,2729,2539,3796,3387,1856,2415,2298,6383,4895,2070
YOL057W,XV,220767,222902,+,2136,3203,3515,2568,1942,1738,1707,1448,1743,1912,3022,3113,2479,3401,3534,4195,3670,3065,3064,3112,2881,4658,5249,4884,4710,3817,3853,4772,4634,1948,3195,2958,2936,2338,2138
YOL056W,XV,223268,224179,+,912,910,957,672,475,418,451,439,457,549,819,820,669,1098,1085,1257,981,885,916,771,662,1263,1259,867,784,490,461,1244,1251,416,720,693,457,372,423
YOL055C,XV,224420,226075,-,1656,431,434,407,972,881,911,980,1186,1314,487,481,320,825,878,1526,1223,981,944,1163,1174,446,457,815,813,824,801,741,724,525,775,686,733,658,570
tG(GCC)O1,XV,226611,226681,-,71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
tN(GUU)O1,XV,228331,228404,+,74,0,0,0,2,8,6,8,9,12,3,2,0,12,11,5,1,20,10,18,15,2,1,4,2,4,3,0,2,7,3,5,0,1,4
YOL054W,XV,228614,229834,+,1221,644,634,591,840,782,714,622,794,884,607,602,540,1331,1157,1786,1481,1383,1255,1308,1239,858,884,825,770,1301,1376,763,769,561,890,805,769,663,600
YOL053W,XV,230085,231272,+,1188,464,514,670,751,673,635,553,719,763,733,781,376,1595,1653,1694,1281,1050,996,1428,1369,1021,1026,2034,1935,2269,2177,879,842,552,413,427,721,546,562
YOL052C-A,XV,231570,231755,-,186,102,103,891,556,448,508,218,274,364,1087,1193,55,6707,6748,3441,2787,1042,899,2082,1927,930,898,924,767,2874,2733,445,378,577,36,34,797,720,593
YOL052C,XV,232446,233636,-,1191,1900,1969,1395,2660,2440,2689,2262,2827,3105,1614,1614,1495,2439,2518,3900,3248,2610,2512,3115,2896,2335,2391,2976,2660,3333,3299,2187,2028,1716,2377,2196,1592,1271,1896
snR81,XV,234346,234546,+,201,378,420,438,1722,1400,1283,1955,2789,3094,519,472,297,735,832,800,568,394,368,752,732,467,557,1071,923,1074,951,670,626,488,2025,1608,160,124,537
YOL051W,XV,234940,238185,+,3246,4032,4047,2975,4344,3842,4113,3681,4487,4949,3697,3340,3105,9040,8773,8995,7413,6867,6421,7701,6836,7289,7336,21207,19483,20833,19852,8951,8459,3828,5321,5045,4189,3438,4255
