gene	length	Ctrl	l_kb	rpm	rpkm
568	YDR241W	288	11	0.288	0.384544122942252	1.33522264910504
3633	YML045W	3963	152	3.963	5.3137006079293	1.34082780921759
2995	YPL238C	390	15	0.39	0.524378349466707	1.34455987042745
6428	YHR035W	1893	73	1.893	2.55197463407131	1.34811126997956
7034	YCL001W-B	255	10	0.255	0.349585566311138	1.37092378945544
6803	YIL073C	2873	114	2.873	3.98527545594697	1.38714773962651
2045	YGR115C	780	31	0.78	1.08371525556453	1.38937853277504
2357	YLR012C	300	12	0.3	0.419502679573366	1.39834226524455
1194	YOR050C	348	14	0.348	0.489419792835593	1.40637871504481
3112	YPL135C-A	174	7	0.174	0.244709896417797	1.40637871504481
4077	YMR306W	5358	216	5.358	7.55104823232058	1.40930351480414
5114	YJL211C	444	18	0.444	0.629254019360049	1.41723878234245
1064	tN(GUU)O1	74	3	0.074	0.104875669893341	1.41723878234245
1238	tN(GUU)O2	74	3	0.074	0.104875669893341	1.41723878234245
1339	tV(AAC)O	74	3	0.074	0.104875669893341	1.41723878234245
2052	tN(GUU)G	74	3	0.074	0.104875669893341	1.41723878234245
6255	tV(AAC)E2	74	3	0.074	0.104875669893341	1.41723878234245
2188	YGR225W	1183	48	1.183	1.67801071829346	1.41843678638501
768	YDR401W	564	23	0.564	0.804046802515618	1.42561489807734
7447	YAR030C	342	14	0.342	0.489419792835593	1.43105202583507
3918	YMR175W-A	195	8	0.195	0.279668453048911	1.43419719512262
3459	tA(AGC)P	73	3	0.073	0.104875669893341	1.43665301223755
3895	tM(CAU)M	73	3	0.073	0.104875669893341	1.43665301223755
5243	tR(ACG)J	73	3	0.073	0.104875669893341	1.43665301223755
5663	tK(CUU)K	73	3	0.073	0.104875669893341	1.43665301223755
921	YDR535C	48	2	0.048	0.0699171132622276	1.45660652629641
1588	YOR390W	1128	47	1.128	1.64305216166235	1.45660652629641
4120	YBL100W-C	120	5	0.12	0.174792783155569	1.45660652629641
4303	YBR045C	1920	80	1.92	2.79668453048911	1.45660652629641
1788	tE(UUC)G1	72	3	0.072	0.104875669893341	1.45660652629641
2057	tR(UCU)G3	72	3	0.072	0.104875669893341	1.45660652629641
5309	tD(GUC)J2	72	3	0.072	0.104875669893341	1.45660652629641
5735	tH(GUG)K	72	3	0.072	0.104875669893341	1.45660652629641
6399	tQ(UUG)H	72	3	0.072	0.104875669893341	1.45660652629641
38	YDL214C	2100	88	2.1	3.07635298353802	1.46492999216096
5545	YJR156C	1023	43	1.023	1.50321793513789	1.4694212464691
6782	YIL089W	618	26	0.618	0.908922472408959	1.47074833723133
3631	YML045W-A	1323	56	1.323	1.95767917134237	1.47972726480905
1957	YGR038C-B	3963	168	3.963	5.87303751402712	1.48196757860891
7009	YCL019W	4023	171	4.023	5.97791318392046	1.48593417447687
3632	YML045W	1305	56	1.305	1.95767917134237	1.5001372960478
6	YDL244W	1023	44	1.023	1.53817649176901	1.50359383359629
6875	YIL015W	1764	76	1.764	2.65685030396465	1.50615096596635
6298	YER181C	324	14	0.324	0.489419792835593	1.51055491615924
7461	YAR068W	486	21	0.486	0.73412968925339	1.51055491615924
3323	YPR050C	414	18	0.414	0.629254019360049	1.51993724483104
4696	YNL270C	1722	75	1.722	2.62189174733354	1.52258521912517
5228	YJL113W	321	14	0.321	0.489419792835593	1.52467225182428
6480	YHR071C-A	321	14	0.321	0.489419792835593	1.52467225182428
2630	YLR227C	1482	65	1.482	2.2723061810224	1.53327002768043
5713	YKL083W	615	27	0.615	0.943881029040073	1.53476590087817
952	YOL152W	1863	82	1.863	2.86660164375133	1.53870190217463
5976	YEL049W	363	16	0.363	0.559336906097821	1.54087301955323
5818	YKR004C	226	10	0.226	0.349585566311138	1.54683878898734
5512	YJR128W	360	16	0.36	0.559336906097821	1.5537136280495
7281	tS(GCU)F	45	2	0.045	0.0699171132622276	1.5537136280495
1582	YOR384W	2085	93	2.085	3.25114576669358	1.55930252599213
1173	YOR032W-A	201	9	0.201	0.314627009680024	1.56530850587077
5854	YKR035C	642	29	0.642	1.0137981423023	1.57912483224657
7103	YCR050C	309	14	0.309	0.489419792835593	1.58388282471066
5729	YKL071W	771	35	0.771	1.22354948208898	1.58696430880543
6689	YIL166C	1629	74	1.629	2.58693319070242	1.58804984082408
4799	YNL170W	396	18	0.396	0.629254019360049	1.58902530141426
6336	YHL030W-A	462	21	0.462	0.73412968925339	1.58902530141426
886	tL(CAA)D	44	2	0.044	0.0699171132622276	1.58902530141426
2760	tS(GCU)L	44	2	0.044	0.0699171132622276	1.58902530141426
7442	tL(CAA)A	44	2	0.044	0.0699171132622276	1.58902530141426
7214	YFL026W	1296	59	1.296	2.06255484123571	1.59147750095348
4093	YMR317W	3423	156	3.423	5.45353483445376	1.59320328204901
6592	YHR160C	852	39	0.852	1.36338370861344	1.60021562043831
1575	YOR378W	1548	71	1.548	2.48205752080908	1.60339633127202
2402	YLR053C	327	15	0.327	0.524378349466707	1.60360351518871
2128	YGR176W	348	16	0.348	0.559336906097821	1.60728996005121
1985	YGR064W	369	17	0.369	0.594295462728935	1.61055680956351
4080	YMR307C-A	195	9	0.195	0.314627009680024	1.61347184451295
6804	YIL072W	1818	84	1.818	2.93651875701356	1.61524684104156
6929	YIR023C-A	324	15	0.324	0.524378349466707	1.6184516958849
7131	YCR081C-A	237	11	0.237	0.384544122942252	1.62254904195043
5089	YNR071C	1029	48	1.029	1.67801071829346	1.63071984285079
2927	YLR461W	363	17	0.363	0.594295462728935	1.6371775832753
5181	YJL152W	360	17	0.36	0.594295462728935	1.6508207298026
1991	YGR069W	336	16	0.336	0.559336906097821	1.66469317291018
4091	YMR316C-A	312	15	0.312	0.524378349466707	1.68069983803432
5932	YKR102W	3510	169	3.51	5.90799607065823	1.68318976372029
6302	YER185W	912	44	0.912	1.53817649176901	1.68659703044847
7100	YCR047W-A	207	10	0.207	0.349585566311138	1.68881916092337
5819	YKR004C	908	44	0.908	1.53817649176901	1.69402697331389
6129	tS(UGA)E	82	4	0.082	0.139834226524455	1.70529544542019
4821	YNL150W	408	20	0.408	0.699171132622276	1.7136547368193
6726	YIL134C-A	204	10	0.204	0.349585566311138	1.7136547368193
7174	YFL059W	897	44	0.897	1.53817649176901	1.71480099416835
3516	YPR204W	3099	153	3.099	5.34865916456041	1.72593067588268
5685	YKL107W	930	46	0.93	1.60809360503124	1.72913290863574
2532	RDN37-2	3396	168	3.396	5.87303751402712	1.72939856125651
2533	RDN25-2	3396	168	3.396	5.87303751402712	1.72939856125651
4611	YBR301W	363	18	0.363	0.629254019360049	1.73348214699738
6566	YHR140W	720	36	0.72	1.2585080387201	1.74792783155569
6977	YCL048W-A	240	12	0.24	0.419502679573366	1.74792783155569
595	YDR261W-B	4020	204	4.02	7.13154555274722	1.77401630665354
2667	YLR255C	354	18	0.354	0.629254019360049	1.77755372700579
6589	YHR157W	549	28	0.549	0.978839585671187	1.78295006497484
4932	YNL057W	333	17	0.333	0.594295462728935	1.78467105924605
293	YDR008C	351	18	0.351	0.629254019360049	1.79274649390327
3040	snR59	78	4	0.078	0.139834226524455	1.79274649390327
3619	tY(GUA)M1	39	2	0.039	0.0699171132622276	1.79274649390327
4049	tY(GUA)M2	39	2	0.039	0.0699171132622276	1.79274649390327
2970	YPL257W-B	3963	204	3.963	7.13154555274722	1.79953205973939
6307	YER189W	369	19	0.369	0.664212575991162	1.80003408127686
4005	YMR245W	621	32	0.621	1.11867381219564	1.80140710498493
2519	RDN37-1	1800	93	1.8	3.25114576669358	1.80619209260755
2528	RDN18-1	1800	93	1.8	3.25114576669358	1.80619209260755
2895	YLR434C	384	20	0.384	0.699171132622276	1.82075815787051
3221	YPL038W-A	192	10	0.192	0.349585566311138	1.82075815787051
2482	YLR124W	345	18	0.345	0.629254019360049	1.82392469379724
2100	YGR160W	612	32	0.612	1.11867381219564	1.82789838594059
5542	YJR153W	1086	57	1.086	1.99263772797349	1.83484137014133
1031	YOL085C	342	18	0.342	0.629254019360049	1.83992403321652
2936	YLR467W	5391	284	5.391	9.92823008323632	1.84163051070976
5962	YEL057C	702	37	0.702	1.29346659535121	1.84254500762281
1351	YOR186W	435	23	0.435	0.804046802515618	1.84838345405889
1866	YGL032C	264	14	0.264	0.489419792835593	1.85386285164997
3054	YPL185W	396	21	0.396	0.73412968925339	1.85386285164997
6311	YHL050C	641	34	0.641	1.18859092545787	1.85427601475487
3806	YMR086C-A	339	18	0.339	0.629254019360049	1.8562065467848
6606	YHR173C	339	18	0.339	0.629254019360049	1.8562065467848
662	YDR316W-B	3963	212	3.963	7.41121400579613	1.87010194443506
1562	YOR366W	354	19	0.354	0.664212575991162	1.87630671183944
2722	YLR299C-A	93	5	0.093	0.174792783155569	1.87949229199537
6033	YEL008C-A	93	5	0.093	0.174792783155569	1.87949229199537
5335	YJL026C-A	222	12	0.222	0.419502679573366	1.88965170978994
1871	tF(GAA)G	37	2	0.037	0.0699171132622276	1.88965170978994
2059	tI(AAU)G	74	4	0.074	0.139834226524455	1.88965170978994
4124	tF(GAA)B	37	2	0.037	0.0699171132622276	1.88965170978994
5898	tK(UUU)K	37	2	0.037	0.0699171132622276	1.88965170978994
3512	YPR201W	1215	66	1.215	2.30726473765351	1.89898332317161
30	YDL221W	552	30	0.552	1.04875669893341	1.89992155603879
6454	YHR054C	1065	58	1.065	2.0275962846046	1.90384627662404
3988	YMR232W	2034	111	2.034	3.88039978605363	1.90776783975105
4807	YNL162W-A	219	12	0.219	0.419502679573366	1.91553734965007
1537	tM(CAU)O2	73	4	0.073	0.139834226524455	1.91553734965007
5358	tM(CAU)J2	73	4	0.073	0.139834226524455	1.91553734965007
6624	tV(CAC)H	73	4	0.073	0.139834226524455	1.91553734965007
7309	tK(CUU)F	73	4	0.073	0.139834226524455	1.91553734965007
5091	YNR073C	1509	83	1.509	2.90156020038245	1.92283644823224
2192	YGR228W	345	19	0.345	0.664212575991162	1.92525384345264
4064	YMR294W-A	360	20	0.36	0.699171132622276	1.94214203506188
7368	YAL042C-A	378	21	0.378	0.73412968925339	1.94214203506188
756	tG(CCC)D	72	4	0.072	0.139834226524455	1.94214203506188
1929	tD(GUC)G1	72	4	0.072	0.139834226524455	1.94214203506188
2054	YGR121W-A	216	12	0.216	0.419502679573366	1.94214203506188
2221	tT(UGU)G2	72	4	0.072	0.139834226524455	1.94214203506188
4050	tY(GUA)M2	36	2	0.036	0.0699171132622276	1.94214203506188
4966	tP(UGG)N2	36	2	0.036	0.0699171132622276	1.94214203506188
5011	tP(AGG)N	72	4	0.072	0.139834226524455	1.94214203506188
5727	tW(CCA)K	36	2	0.036	0.0699171132622276	1.94214203506188
5728	tW(CCA)K	36	2	0.036	0.0699171132622276	1.94214203506188
6058	tE(UUC)E1	72	4	0.072	0.139834226524455	1.94214203506188
6225	tH(GUG)E2	72	4	0.072	0.139834226524455	1.94214203506188
7269	tY(GUA)F1	36	2	0.036	0.0699171132622276	1.94214203506188
1116	YOL015W	1761	98	1.761	3.42593854984915	1.94545062455943
1987	YGR066C	879	49	0.879	1.71296927492458	1.9487705061713
1413	YOR237W	1305	73	1.305	2.55197463407131	1.95553611806231
5257	YJL088W	1017	57	1.017	1.99263772797349	1.95932913271729
5425	tG(GCC)J2	71	4	0.071	0.139834226524455	1.96949614823176
5280	YJL067W	351	20	0.351	0.699171132622276	1.99194054878141
5933	YKR103W	3657	209	3.657	7.30633833590279	1.99790493188482
7460	YAR066W	612	35	0.612	1.22354948208898	1.99926385962252
1863	YGL034C	366	21	0.366	0.73412968925339	2.00581882309669
2874	YLR416C	399	23	0.399	0.804046802515618	2.01515489352285
2261	YGR294W	363	21	0.363	0.73412968925339	2.02239583816361
4472	YBR184W	1572	91	1.572	3.18122865343136	2.02368234951104
3896	YMR158C-A	138	8	0.138	0.279668453048911	2.02658299310805
4012	YMR251W	1101	64	1.101	2.23734762439128	2.03210501761243
6331	YHL034W-A	462	27	0.462	0.943881029040073	2.04303253038977
413	YDR106W	855	50	0.855	1.74792783155569	2.04436003690724
3414	YPR130C	408	24	0.408	0.839005359146732	2.05638568418317
5472	YJR094C	1083	64	1.083	2.23734762439128	2.06587961624311
2615	YLR213C	1269	75	1.269	2.62189174733354	2.06610854793817
5778	YKL030W	606	36	0.606	1.2585080387201	2.07674593848201
1988	YGR067C	2415	144	2.415	5.03403215488039	2.08448536433971
4031	YMR269W	636	38	0.636	1.32842515198232	2.08871879242504
891	YDR510C-A	117	7	0.117	0.244709896417797	2.09153757622048
7438	YAR019W-A	333	20	0.333	0.699171132622276	2.09961301087771
5777	YKL031W	414	25	0.414	0.873963915777845	2.11102395115422
2625	YLR222C-A	231	14	0.231	0.489419792835593	2.11870040188569
5934	YKR104W	921	56	0.921	1.95767917134237	2.12560170612636
6824	tS(UGA)I	82	5	0.082	0.174792783155569	2.13161930677523
1805	YGL081W	963	59	0.963	2.06255484123571	2.1418014966103
202	YDL071C	375	23	0.375	0.804046802515618	2.14412480670831
6133	YER067C-A	324	20	0.324	0.699171132622276	2.1579355945132
3353	YPR077C	372	23	0.372	0.804046802515618	2.16141613579467
6868	YIL020C-A	339	21	0.339	0.73412968925339	2.16557430458227
5343	YJL020W-A	258	16	0.258	0.559336906097821	2.16797250425512
5943	YEL075C	369	23	0.369	0.804046802515618	2.17898862470357
1990	YGR068W-A	96	6	0.096	0.209751339786683	2.18490978944461
6091	YER038W-A	381	24	0.381	0.839005359146732	2.20211380353473
337	YDR042C	603	38	0.603	1.32842515198232	2.20302678604034
7070	YCR025C	411	26	0.411	0.908922472408959	2.21149020050842
1534	YOR343W-B	1294	82	1.294	2.86660164375133	2.21530266132251
550	YDR223W	1404	89	1.404	3.11131154016913	2.21603386051932
300	YDR014W-A	489	31	0.489	1.08371525556453	2.21618661669638
4273	YBR018C	1101	70	1.101	2.44709896417797	2.22261486301359
57	YDL196W	330	21	0.33	0.73412968925339	2.22463542197997
2172	YGR213C	954	61	0.954	2.13247195449794	2.2352955497882
5752	YKL053W	375	24	0.375	0.839005359146732	2.23734762439128
6323	YHL042W	453	29	0.453	1.0137981423023	2.23796499404481
1454	YOR277C	309	20	0.309	0.699171132622276	2.26268974958665
2678	YLR263W	2484	161	2.484	5.62832761760932	2.26583237423886
2280	YLL059C	507	33	0.507	1.15363236882676	2.27540901149262
6918	YIR018C-A	138	9	0.138	0.314627009680024	2.27990586724655
5539	YJR151C	3486	228	3.486	7.97055091189395	2.28644604472001
3368	snR51	107	7	0.107	0.244709896417797	2.28700837773642
2918	YLR453C	1188	78	1.188	2.72676741722688	2.29525876870949
5283	YJL064W	396	26	0.396	0.908922472408959	2.29525876870949
1921	YGR016W	573	38	0.573	1.32842515198232	2.31836850258695
304	YDR018C	1191	79	1.191	2.76172597385799	2.31882953304617
5082	YNR064C	873	58	0.873	2.0275962846046	2.32256160893998
6294	YER179W	873	58	0.873	2.0275962846046	2.32256160893998
4623	YNL332W	1023	68	1.023	2.37718185091574	2.32373592464882
3864	YMR133W	45	3	0.045	0.104875669893341	2.33057044207425
6239	YER138W-A	105	7	0.105	0.244709896417797	2.33057044207425
6837	YIL046W-A	165	11	0.165	0.384544122942252	2.33057044207425
6936	YIR030C	735	49	0.735	1.71296927492458	2.33057044207425
6050	YER007W	1557	104	1.557	3.63568988963584	2.33506094388943
1536	YOR343W-A	1317	88	1.317	3.07635298353802	2.33587925857101
6181	YER096W	1539	103	1.539	3.60073133300472	2.33965648668273
34	YDL218W	954	64	0.954	2.23734762439128	2.34522811781057
1997	YGR075C	729	49	0.729	1.71296927492458	2.34975209180326
4970	YNL033W	855	58	0.855	2.0275962846046	2.3714576428124
5475	YJR095W	969	66	0.969	2.30726473765351	2.38107816063314
2632	tL(UAG)L1	44	3	0.044	0.104875669893341	2.3835379521214
2930	YLR464W	513	35	0.513	1.22354948208898	2.38508670972511
255	YDL022C-A	249	17	0.249	0.594295462728935	2.38672876597966
390	tR(ACG)D	73	5	0.073	0.174792783155569	2.39442168706259
5577	YKL202W	582	40	0.582	1.39834226524455	2.40264994028274
2952	YPL272C	1554	107	1.554	3.74056555952918	2.40705634461337
3096	YPL147W	2613	180	2.613	6.29254019360049	2.40816693210887
495	YDR179W-A	1392	96	1.392	3.35602143658693	2.41093494007682
7271	YFR012W-A	87	6	0.087	0.209751339786683	2.41093494007682
4263	YBR012C	420	29	0.42	1.0137981423023	2.41380510071976
5237	YJL106W	1938	134	1.938	4.68444658856925	2.41715510246091
1298	tG(CCC)O	72	5	0.072	0.174792783155569	2.42767754382735
1941	tD(GUC)G2	72	5	0.072	0.174792783155569	2.42767754382735
7073	tQ(UUG)C	72	5	0.072	0.174792783155569	2.42767754382735
5110	YJL215C	360	25	0.36	0.873963915777845	2.42767754382735
6266	YER158W-A	216	15	0.216	0.524378349466707	2.42767754382735
5948	YEL070W	1509	105	1.509	3.67064844626695	2.43250394053476
1610	YGL251C	3506	244	3.506	8.52988781799177	2.43294005076776
5977	YEL048C	459	32	0.459	1.11867381219564	2.43719784792079
2056	YGR122C-A	129	9	0.129	0.314627009680024	2.43896906728701
3378	YPR099C	357	25	0.357	0.873963915777845	2.44807819545615
2899	YLR437C-A	228	16	0.228	0.559336906097821	2.45323204428869
2124	tG(GCC)G1	71	5	0.071	0.174792783155569	2.46187018528971
2178	tG(GCC)G2	71	5	0.071	0.174792783155569	2.46187018528971
7276	tG(GCC)F2	71	5	0.071	0.174792783155569	2.46187018528971
2404	YLR054C	2144	151	2.144	5.27874205129819	2.46209983735923
5109	YJL216C	1746	124	1.746	4.33486102225811	2.48273827162549
2282	YLL057C	1239	88	1.239	3.07635298353802	2.48293219010332
104	YDL154W	2706	193	2.706	6.74700142980497	2.49334864368254
326	tL(UAA)D	84	6	0.084	0.209751339786683	2.49703975936527
6467	YHR063W-A	336	24	0.336	0.839005359146732	2.49703975936527
597	YDR261C-D	3510	252	3.51	8.80955627104068	2.50984509146458
3261	YPR001W	1461	105	1.461	3.67064844626695	2.5124219344743
3728	YMR025W	888	64	0.888	2.23734762439128	2.51953561305325
3737	YMR030W-A	291	21	0.291	0.73412968925339	2.52278243729687
1151	YOR012W	414	30	0.414	1.04875669893341	2.53322874138506
378	YDR078C	672	49	0.672	1.71296927492458	2.54906142101872
5224	YJL116C	1014	74	1.014	2.58693319070242	2.55121616440081
3514	YPR202W	698	51	0.698	1.7828863881868	2.5542784931043
5477	YJR097W	519	38	0.519	1.32842515198232	2.55958603464802
6584	YHR153C	597	44	0.597	1.53817649176901	2.576510036464
3814	YMR094W	1437	106	1.437	3.70560700289806	2.57871051001953
2929	YLR463C	552	41	0.552	1.43330082187567	2.59655945991969
2376	YLR030W	792	59	0.792	2.06255484123571	2.60423591065116
2354	YLR010C	483	36	0.483	1.2585080387201	2.60560670542463
4392	YBR113W	483	36	0.483	1.2585080387201	2.60560670542463
3095	YPL148C	522	39	0.522	1.36338370861344	2.61184618508322
6513	YHR096C	1779	133	1.779	4.64948803193814	2.61354020907147
1323	YOR161C-C	147	11	0.147	0.384544122942252	2.61594641457314
1358	YOR192C	1800	135	1.8	4.71940514520036	2.62189174733354
5388	YJR020W	333	25	0.333	0.873963915777845	2.62451626359713
7311	YFR036W-A	651	49	0.651	1.71296927492458	2.63128920879351
2943	YPL281C	1314	99	1.314	3.46089710648027	2.63386385576885
6880	YIL013C	4236	322	4.236	11.2566552352186	2.65737847856909
7405	YAL016C-A	315	24	0.315	0.839005359146732	2.66350907665629
6743	YIL120W	1692	129	1.692	4.50965380541368	2.66528002684024
4275	YBR020W	1587	121	1.587	4.22998535236477	2.66539719745732
5770	YKL036C	393	30	0.393	1.04875669893341	2.66859210924533
2307	YLL033W	693	53	0.693	1.85280350144903	2.67359812618908
5821	YKR005C	1431	110	1.431	3.84544122942252	2.68724055165795
2327	YLL017W	312	24	0.312	0.839005359146732	2.68911974085491
5306	tY(GUA)J1	39	3	0.039	0.104875669893341	2.68911974085491
6552	YHR130C	336	26	0.336	0.908922472408959	2.70512640597904
5557	YKL220C	2136	166	2.136	5.80312040076489	2.71681666702476
1090	snR50	90	7	0.09	0.244709896417797	2.71899884908663
2643	YLR233C	2100	164	2.1	5.73320328750267	2.7300968035727
5569	YKL209C	3873	304	3.873	10.6274012158586	2.74397139578069
1184	YOR041C	432	34	0.432	1.18859092545787	2.75136788300433
6673	YHR219W	1875	148	1.875	5.17386638140484	2.75939540341592
1197	YOR053W	342	27	0.342	0.943881029040073	2.75988604982477
7243	RUF20	443	35	0.443	1.22354948208898	2.76196271351915
83	YDL172C	480	38	0.48	1.32842515198232	2.76755239996318
294	YDR009W	1563	124	1.563	4.33486102225811	2.77342355870641
5830	YKR012C	378	30	0.378	1.04875669893341	2.77448862151697
376	YDR076W	1221	97	1.221	3.39097999321804	2.77721539166097
170	YDL096C	327	26	0.327	0.908922472408959	2.77957942632709
4620	YNL335W	678	54	0.678	1.88776205808015	2.78430982017721
6769	YIL100C-A	339	27	0.339	0.943881029040073	2.78430982017721
1980	snR48	113	9	0.113	0.314627009680024	2.78430982017721
5951	YEL067C	588	47	0.588	1.64305216166235	2.79430639738495
3407	YPR123C	435	35	0.435	1.22354948208898	2.81275743008962
3507	YPR196W	1413	114	1.413	3.98527545594697	2.82043556684145
1897	YGL006W-A	111	9	0.111	0.314627009680024	2.8344775646849
658	tF(GAA)D	37	3	0.037	0.104875669893341	2.8344775646849
2143	YGR188C	3066	249	3.066	8.70468060114734	2.83910000037421
5769	YKL037W	357	29	0.357	1.0137981423023	2.83977070672913
4980	snR66	86	7	0.086	0.244709896417797	2.84546391183485
3511	YPR200C	393	32	0.393	1.11867381219564	2.84649824986168
4831	YNL143C	393	32	0.393	1.11867381219564	2.84649824986168
5503	YJR119C	2187	179	2.187	6.25758163696937	2.86126275124343
5086	YNR068C	819	68	0.819	2.37718185091574	2.90254194251006
3764	YMR051C	1323	110	1.323	3.84544122942252	2.90660712730349
499	YDR182W-A	204	17	0.204	0.594295462728935	2.91321305259282
2735	YLR307C-A	264	22	0.264	0.769088245884504	2.91321305259282
4395	YBR116C	528	44	0.528	1.53817649176901	2.91321305259282
1285	tD(GUC)O	72	6	0.072	0.209751339786683	2.91321305259282
3620	tY(GUA)M1	36	3	0.036	0.104875669893341	2.91321305259282
4954	tP(UGG)N1	36	3	0.036	0.104875669893341	2.91321305259282
5307	tY(GUA)J1	36	3	0.036	0.104875669893341	2.91321305259282
6886	tD(GUC)I2	72	6	0.072	0.209751339786683	2.91321305259282
2928	YLR462W	609	51	0.609	1.7828863881868	2.92756385580756
3762	YMR050C	1305	110	1.305	3.84544122942252	2.94669826009389
6411	YHR022C	771	65	0.771	2.2723061810224	2.94721943063865
624	YDR285W	2628	222	2.628	7.76079957210727	2.95312008071053
1601	YGL258W-A	234	20	0.234	0.699171132622276	2.98791082317212
4863	YNL117W	1665	143	1.665	4.99907359824928	3.00244660555512
954	YOL150C	312	27	0.312	0.943881029040073	3.02525970846177
1828	YGL063C-A	150	13	0.15	0.45446123620448	3.02974157469653
6062	YER014C-A	23	2	0.023	0.0699171132622276	3.03987448966207
2822	YLR374C	390	34	0.39	1.18859092545787	3.04766903963556
4238	YBL008W-A	240	21	0.24	0.73412968925339	3.05887370522246
67	YDL187C	330	29	0.33	1.0137981423023	3.07211558273424
2455	YLR101C	396	35	0.396	1.22354948208898	3.08977141941663
5820	YKR005C	147	13	0.147	0.45446123620448	3.09157303540462
6823	YIL057C	495	44	0.495	1.53817649176901	3.10742725609901
7113	tS(CGA)C	45	4	0.045	0.139834226524455	3.10742725609901
4653	YNL303W	348	31	0.348	1.08371525556453	3.11412429759922
3869	YMR137C	1986	177	1.986	6.18766452370715	3.1156417541325
7137	YCR087W	516	46	0.516	1.60809360503124	3.11646047486674
3889	YMR153C-A	336	30	0.336	1.04875669893341	3.12129969920659
3503	YPR192W	918	82	0.918	2.86660164375133	3.12265974264851
774	YDR406W-A	246	22	0.246	0.769088245884504	3.12637498327034
5738	YKL065W-A	222	20	0.222	0.699171132622276	3.14941951631656
5172	YJL160C	864	78	0.864	2.72676741722688	3.15598080697555
3019	YPL216W	3309	299	3.309	10.452608432703	3.15884207697281
2134	tL(CAA)G3	44	4	0.044	0.139834226524455	3.17805060282853
5081	YNR063W	1824	166	1.824	5.80312040076489	3.18153530743689
586	YDR256C	1548	141	1.548	4.92915648498705	3.18420961562471
3815	YMR095C	675	62	0.675	2.16743051112906	3.21100816463564
1506	YOR318C	302	28	0.302	0.978839585671187	3.24119068103042
3768	YMR052C-A	366	34	0.366	1.18859092545787	3.2475161897756
1193	YOR049C	1065	99	1.065	3.46089710648027	3.24966864458241
3843	YMR118C	591	55	0.591	1.92272061471126	3.25333437345391
2298	YLL042C	504	47	0.504	1.64305216166235	3.26002413028244
1600	YGL259W	498	47	0.498	1.64305216166235	3.29930152944247
810	YDR439W	1044	99	1.044	3.46089710648027	3.31503554260562
2683	YLR267W	1713	163	1.713	5.69824473087155	3.32647094621807
7030	YCL002C	42	4	0.042	0.139834226524455	3.32938634582036
6160	YER084W	387	37	0.387	1.29346659535121	3.34229094405998
6343	YHL024W	2142	205	2.142	7.16650410937833	3.3457068671234
3443	YPR150W	522	50	0.522	1.74792783155569	3.34852075010669
4567	YBR259W	2067	198	2.067	6.92179421296054	3.34871514898913
3575	YML087C	939	90	0.939	3.14627009680024	3.35066037997896
2276	YLL063C	1425	137	1.425	4.78932225846259	3.3609279006755
1923	YGR018C	330	32	0.33	1.11867381219564	3.3899206430171
583	YDR253C	576	56	0.576	1.95767917134237	3.39874856135829
6321	YHL044W	708	69	0.708	2.41214040754685	3.40697797676109
2030	tL(GAG)G	82	8	0.082	0.279668453048911	3.41059089084037
2690	YLR273C	1947	190	1.947	6.64212575991163	3.41146674879899
5457	YJR079W	143	14	0.143	0.489419792835593	3.42251603381534
5937	YEL077C	3834	378	3.834	13.214334406561	3.44661825940559
3462	tG(GCC)P2	71	7	0.071	0.244709896417797	3.44661825940559
3690	YML002W	2214	219	2.214	7.65592390221393	3.45796020876871
879	YDR501W	1566	155	1.566	5.41857627782264	3.46013810844358
1343	YOR180C	816	81	0.816	2.83164308712022	3.47015084205909
254	YDL024C	1407	140	1.407	4.89419792835593	3.47846334637948
2534	YLR154C-G	150	15	0.15	0.524378349466707	3.49585566311138
4242	YBL006W-A	150	15	0.15	0.524378349466707	3.49585566311138
6771	YIL099W	1650	165	1.65	5.76816184413378	3.49585566311138
2328	YLL016W	3147	315	3.147	11.0119453388009	3.49918822332407
1687	YGL184C	1398	140	1.398	4.89419792835593	3.500856887236
2873	YLR415C	339	34	0.339	1.18859092545787	3.50616792170463
5946	YEL072W	696	70	0.696	2.44709896417797	3.51594678761202
442	YDR131C	1671	170	1.671	5.94295462728935	3.55652580926951
1545	YOR349W	3045	310	3.045	10.8371525556453	3.55899919725625
334	YDR039C	3276	335	3.276	11.7111164714231	3.57482187772379
611	YDR273W	1098	113	1.098	3.95031689931586	3.59773852396709
2480	YLR122C	378	39	0.378	1.36338370861344	3.60683520797206
1895	YGL007C-A	87	9	0.087	0.314627009680024	3.61640241011522
3708	snR78	87	9	0.087	0.314627009680024	3.61640241011522
3713	snR73	106	11	0.106	0.384544122942252	3.62777474473823
6090	YER038C	1395	145	1.395	5.0689907115115	3.63368509785771
1019	YOL095C	2121	221	2.121	7.72584101547615	3.64254644765495
5379	YJR011C	786	82	0.786	2.86660164375133	3.64707588263528
7046	YCR010C	852	89	0.852	3.11131154016913	3.65177410817973
3615	snR54	86	9	0.086	0.314627009680024	3.65845360093052
1503	YOR316C-A	210	22	0.21	0.769088245884504	3.6623249804024
7061	YCR020C	648	68	0.648	2.37718185091574	3.66849051067244
2133	tL(CAA)G3	38	4	0.038	0.139834226524455	3.67984806643303
950	YOL154W	750	79	0.75	2.76172597385799	3.68230129847732
